Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2025-04-08,83.29,86.114,75.22,77.32,135345600.0,77.84,74.01,83.6,10.894,15.68,9.05,4.67,5.97,-11.19,6.06,-2.35,169083700.0,147323200.0,93878200.0,78.691,81.219,83.9,-0.006702740437911322,0
2025-04-09,78.19,93.33,77.27,92.01,187244300.0,77.32,77.84,74.01,16.06,10.894,15.68,9.05,-13.82,5.97,-11.19,6.06,135345600.0,169083700.0,147323200.0,78.005,80.077,82.853,0.1739446396184312,1
2025-04-10,88.4,90.78,84.14,88.59,124448200.0,92.01,77.32,77.84,6.64,16.06,10.894,15.68,-0.19,-13.82,5.97,-11.19,187244300.0,135345600.0,169083700.0,85.008,83.572,84.31,-0.03787834692543079,0
2025-04-11,87.98,89.55,85.47,88.55,95130700.0,88.59,92.01,77.32,4.08,6.64,16.06,10.894,-0.57,-0.19,-13.82,5.97,124448200.0,187244300.0,135345600.0,86.799,85.042,84.991,-0.00045154439370149606,0
2025-04-14,95.8,97.33,91.46,92.62,122836900.0,88.55,88.59,92.01,5.87,4.08,6.64,16.06,3.18,-0.57,-0.19,-13.82,95130700.0,124448200.0,187244300.0,87.674,86.069,85.557,0.0449377320144037,1
2025-04-15,93.53,98.99,93.05,98.4,118457700.0,92.62,88.55,88.59,5.94,5.87,4.08,6.64,-4.87,3.18,-0.57,-0.19,122836900.0,95130700.0,124448200.0,90.147,87.988,86.681,0.060535688858193264,1
2025-04-16,96.28,97.3,89.62,92.71,121997600.0,98.4,92.62,88.55,7.68,5.94,5.87,4.08,3.57,-4.87,3.18,-0.57,118457700.0,122836900.0,95130700.0,94.274,91.038,88.546,-0.05956448782138962,0
2025-04-17,94.71,95.11,92.27,93.78,83991800.0,92.71,98.4,92.62,2.84,7.68,5.94,5.87,0.93,3.57,-4.87,3.18,121997600.0,118457700.0,122836900.0,93.492,91.527,89.208,0.011475268901054816,1
2025-04-21,92.84,96.475,89.31,90.8,83831100.0,93.78,92.71,98.4,7.165,2.84,7.68,5.94,2.04,0.93,3.57,-4.87,83991800.0,121997600.0,118457700.0,93.636,92.187,89.936,-0.03229228142785758,0
2025-04-22,93.015,96.34,91.35,93.99,91185400.0,90.8,93.78,92.71,4.99,7.165,2.84,7.68,-0.975,2.04,0.93,3.57,83831100.0,83991800.0,121997600.0,92.218,91.781,90.073,0.034529051687021244,1
2025-04-23,98.86,103.76,97.83,100.82,112909500.0,93.99,90.8,93.78,5.93,4.99,7.165,2.84,-1.96,-0.975,2.04,0.93,91185400.0,83831100.0,83991800.0,93.104,92.428,90.696,0.07014837472361209,1
2025-04-24,101.53,108.0,100.91,107.78,103190700.0,100.82,93.99,90.8,7.09,5.93,4.99,7.165,-6.25,-1.96,-0.975,2.04,112909500.0,91185400.0,83831100.0,96.962,94.886,92.307,0.06675535555192483,1
2025-04-25,108.05,112.88,106.55,112.78,103933800.0,107.78,100.82,93.99,6.33,7.09,5.93,4.99,-4.73,-6.25,-1.96,-0.975,103190700.0,112909500.0,91185400.0,102.371,98.663,94.769,0.045346906375808,1
2025-04-28,113.78,114.86,108.87,114.65,111082900.0,112.78,107.78,100.82,5.99,6.33,7.09,5.93,-0.87,-4.73,-6.25,-1.96,103933800.0,103190700.0,112909500.0,107.575,102.797,97.634,0.01644501505765054,1
2025-04-29,113.98,117.23,113.24,116.08,79709000.0,114.65,112.78,107.78,3.99,5.99,6.33,7.09,-2.1,-0.87,-4.73,-6.25,111082900.0,103933800.0,103190700.0,111.113,106.269,100.342,0.012395601737076416,1
2025-04-30,111.61,118.78,110.54,118.44,109461700.0,116.08,114.65,112.78,8.24,3.99,5.99,6.33,-6.83,-2.1,-0.87,-4.73,79709000.0,111082900.0,103933800.0,113.596,109.143,102.846,0.020126899496403828,1
2025-05-01,120.04,120.19,116.0,116.2,90677600.0,118.44,116.08,114.65,4.19,8.24,3.99,5.99,3.84,-6.83,-2.1,-0.87,109461700.0,79709000.0,111082900.0,116.018,111.866,105.327,-0.019093705691577156,0
2025-05-02,118.66,124.42,118.63,124.28,103094300.0,116.2,118.44,116.08,5.79,4.19,8.24,3.99,-5.62,3.84,-6.83,-2.1,90677600.0,109461700.0,79709000.0,116.109,113.135,107.057,0.0672242565478113,1
2025-05-05,123.7,125.255,121.36,123.77,135961300.0,124.28,116.2,118.44,3.895,5.79,4.19,8.24,-0.07,-5.62,3.84,-6.83,103094300.0,90677600.0,109461700.0,120.195,116.399,109.797,-0.0041120972730678005,0
2025-05-06,112.71,113.91,105.32,108.86,201193400.0,123.77,124.28,116.2,8.59,3.895,5.79,4.19,3.85,-0.07,-5.62,3.84,135961300.0,103094300.0,90677600.0,121.982,118.558,112.02,-0.128362318816767,0
2025-05-07,107.97,111.85,107.0,110.48,95428800.0,108.86,123.77,124.28,4.85,8.59,3.895,5.79,-2.51,3.85,-0.07,-5.62,201193400.0,135961300.0,103094300.0,115.421,115.718,111.517,0.014771880873214285,1
2025-05-08,112.28,120.38,112.07,119.15,126966200.0,110.48,108.86,123.77,8.31,4.85,8.59,3.895,-6.87,-2.51,3.85,-0.07,95428800.0,201193400.0,135961300.0,112.951,114.184,111.352,0.07554867686509499,1
2025-05-09,118.97,119.16,114.9,117.3,81005300.0,119.15,110.48,108.86,4.26,8.31,4.85,8.59,1.67,-6.87,-2.51,3.85,126966200.0,95428800.0,201193400.0,116.05,115.638,112.593,-0.015648434675000277,0
2025-05-12,120.78,120.935,115.01,118.46,94257300.0,117.3,119.15,110.48,5.925,4.26,8.31,4.85,2.32,1.67,-6.87,-2.51,81005300.0,126966200.0,95428800.0,116.675,116.125,113.342,0.00984056144412108,1
2025-05-13,119.92,130.6,119.31,128.1,147155400.0,118.46,117.3,119.15,11.29,5.925,4.26,8.31,-8.18,2.32,1.67,-6.87,94257300.0,81005300.0,126966200.0,117.568,116.809,114.156,0.0782359134289383,1
2025-05-14,129.01,133.49,127.559,130.18,96611500.0,128.1,118.46,117.3,5.931,11.29,5.925,4.26,-1.17,-8.18,2.32,1.67,147155400.0,94257300.0,81005300.0,122.834,120.116,116.375,0.016106795332817645,1
2025-05-15,128.37,130.2,125.74,128.12,69503000.0,130.18,128.1,118.46,4.46,5.931,11.29,5.925,0.25,-1.17,-8.18,2.32,96611500.0,147155400.0,94257300.0,126.507,123.064,118.571,-0.015950765252283748,0
2025-05-16,129.23,130.33,126.76,129.52,57003700.0,128.12,130.18,128.1,3.57,4.46,5.931,11.29,-0.29,0.25,-1.17,-8.18,69503000.0,96611500.0,147155400.0,127.313,124.545,120.09,0.010868055726547794,1
2025-05-19,124.715,127.77,124.32,126.33,72503900.0,129.52,128.12,130.18,3.45,3.57,4.46,5.931,-1.615,-0.29,0.25,-1.17,57003700.0,69503000.0,96611500.0,128.417,126.002,121.591,-0.02493779702009602,0
2025-05-20,127.22,128.2,124.65,125.59,61265300.0,126.33,129.52,128.12,3.55,3.45,3.57,4.46,1.63,-1.615,-0.29,0.25,72503900.0,57003700.0,69503000.0,127.373,126.098,122.345,-0.005874941465373389,0
